Country,Year,Quarter,Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%)
2,2017,1,0.2916666666666672,0.16666666666666663,0.25,0.6699999999999999
6,2018,3,0.2083333333333337,0.3333333333333333,0.6111111111111116,0.5800000000000001
9,2016,1,0.2500000000000002,0.6666666666666665,0.44444444444444464,0.45000000000000107
5,2015,2,0.9166666666666667,1.0,0.8055555555555562,0.8499999999999996
2,2017,2,0.2916666666666672,0.16666666666666663,0.30555555555555536,0.6900000000000013
4,2019,2,0.5833333333333337,0.16666666666666663,0.6111111111111116,0.17999999999999972
8,2016,4,0.37500000000000067,0.49999999999999994,0.41666666666666696,0.7900000000000009
2,2016,1,0.2916666666666672,0.16666666666666663,0.7222222222222223,0.0
14,2021,4,0.41666666666666674,0.8333333333333333,0.5833333333333339,0.7900000000000009
10,2020,4,0.37500000000000067,0.3333333333333333,0.3888888888888893,0.25
6,2019,4,0.2083333333333337,0.3333333333333333,0.6944444444444455,0.5299999999999994
13,2017,3,0.45833333333333326,0.49999999999999994,0.8333333333333339,0.6799999999999997
2,2018,2,0.2916666666666672,0.16666666666666663,0.5555555555555562,0.10999999999999943
9,2020,2,0.2083333333333337,0.6666666666666665,0.3333333333333339,0.8200000000000003
13,2022,2,0.5000000000000002,0.49999999999999994,0.4722222222222223,0.7599999999999998
11,2021,2,0.6666666666666667,0.3333333333333333,0.7500000000000009,0.41999999999999993
2,2021,3,0.2916666666666672,0.16666666666666663,0.19444444444444464,0.20000000000000107
5,2018,3,0.8333333333333337,1.0,0.44444444444444464,0.8599999999999994
9,2015,3,0.2500000000000002,0.6666666666666665,0.8055555555555562,0.20000000000000107
10,2022,4,0.41666666666666674,0.3333333333333333,0.3611111111111116,0.8400000000000016
11,2016,4,0.6666666666666667,0.3333333333333333,0.7777777777777786,0.3800000000000008
2,2016,3,0.2916666666666672,0.16666666666666663,0.5555555555555562,0.14000000000000057
0,2015,3,0.45833333333333326,0.49999999999999994,0.13888888888888928,0.34000000000000163
7,2022,4,0.9166666666666667,0.8333333333333333,0.5555555555555562,0.5099999999999998
1,2020,2,0.0833333333333337,0.6666666666666665,0.6944444444444455,0.6900000000000013
14,2017,2,0.41666666666666674,0.8333333333333333,0.30555555555555536,0.3100000000000005
5,2021,2,0.8750000000000007,1.0,0.7500000000000009,0.34000000000000163
12,2015,3,0.5416666666666667,0.3333333333333333,0.2222222222222232,0.5800000000000001
4,2018,1,0.5833333333333337,0.16666666666666663,0.5000000000000009,0.4400000000000013
2,2019,3,0.2916666666666672,0.16666666666666663,0.25,0.5400000000000009
11,2015,4,0.6666666666666667,0.3333333333333333,0.8333333333333339,0.27000000000000135
13,2022,3,0.5000000000000002,0.49999999999999994,0.9722222222222232,0.120000000000001
10,2015,2,0.41666666666666674,0.3333333333333333,0.3888888888888893,0.09000000000000163
8,2017,1,0.37500000000000067,0.49999999999999994,0.41666666666666696,0.6600000000000001
5,2015,4,0.9166666666666667,1.0,0.5555555555555562,0.8100000000000005
0,2015,1,0.45833333333333326,0.49999999999999994,0.44444444444444464,0.620000000000001
0,2017,4,0.45833333333333326,0.49999999999999994,0.5833333333333339,0.75
5,2018,2,0.7916666666666672,1.0,0.5833333333333339,0.16000000000000014
0,2020,3,0.45833333333333326,0.49999999999999994,0.5000000000000009,0.7700000000000014
3,2017,1,0.0833333333333337,0.0,0.2222222222222232,0.5900000000000016
13,2017,1,0.5000000000000002,0.49999999999999994,0.666666666666667,0.120000000000001
3,2016,2,0.0833333333333337,0.0,0.19444444444444464,0.8400000000000016
2,2018,4,0.2916666666666672,0.16666666666666663,0.6388888888888902,0.5700000000000003
8,2021,1,0.37500000000000067,0.49999999999999994,0.7500000000000009,0.22000000000000064
8,2018,4,0.41666666666666674,0.49999999999999994,0.3333333333333339,0.5900000000000016
0,2019,3,0.5000000000000002,0.49999999999999994,0.41666666666666696,0.40000000000000036
4,2019,1,0.5833333333333337,0.16666666666666663,0.5000000000000009,0.8400000000000016
5,2016,4,0.8750000000000007,1.0,0.5277777777777777,0.9800000000000004
9,2020,3,0.2500000000000002,0.6666666666666665,0.30555555555555536,0.3000000000000007
14,2016,1,0.45833333333333326,0.8333333333333333,0.6111111111111116,0.6400000000000006
10,2016,4,0.41666666666666674,0.3333333333333333,0.5555555555555562,0.08000000000000007
11,2018,3,0.7083333333333337,0.3333333333333333,0.8055555555555562,0.25
10,2018,3,0.41666666666666674,0.3333333333333333,0.5000000000000009,0.07000000000000028
15,2016,1,0.2500000000000002,0.3333333333333333,0.5277777777777777,0.35999999999999943
7,2020,2,0.9166666666666667,0.8333333333333333,0.5833333333333339,0.8900000000000006
15,2017,1,0.2916666666666672,0.3333333333333333,0.4722222222222223,0.14000000000000057
2,2022,2,0.2916666666666672,0.16666666666666663,0.3333333333333339,0.27999999999999936
15,2021,1,0.2500000000000002,0.3333333333333333,0.666666666666667,0.20999999999999908
12,2017,4,0.5416666666666667,0.3333333333333333,0.5277777777777777,0.17999999999999972
11,2015,1,0.6666666666666667,0.3333333333333333,0.41666666666666696,0.5099999999999998
14,2020,1,0.45833333333333326,0.8333333333333333,0.3333333333333339,0.02000000000000135
12,2022,1,0.5416666666666667,0.3333333333333333,0.7222222222222223,0.6099999999999994
2,2016,2,0.2916666666666672,0.16666666666666663,0.666666666666667,0.45000000000000107
5,2022,2,0.8750000000000007,1.0,0.8333333333333339,0.6300000000000008
6,2018,1,0.16666666666666674,0.3333333333333333,0.4722222222222223,0.9599999999999991
4,2016,4,0.5833333333333337,0.16666666666666663,0.30555555555555536,0.620000000000001
7,2019,4,0.9166666666666667,0.8333333333333333,0.7222222222222223,0.8800000000000008
9,2020,4,0.2916666666666672,0.6666666666666665,0.5833333333333339,0.9299999999999997
9,2021,4,0.2916666666666672,0.6666666666666665,0.4722222222222223,0.3100000000000005
