Country,Year,Quarter,Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%),Outbreak Occurred (0/1)
Peru,2019,Q4,0.56,0.4,26.5,82.8,0
Peru,2020,Q1,0.56,0.4,26.1,86.2,0
Peru,2020,Q2,0.56,0.4,26.0,87.2,1
Peru,2020,Q3,0.57,0.4,26.2,89.7,0
Peru,2020,Q4,0.56,0.4,26.7,82.5,0
Peru,2021,Q1,0.57,0.4,26.7,83.6,0
Peru,2021,Q2,0.57,0.4,26.5,89.7,0
Peru,2021,Q3,0.57,0.4,26.4,87.7,0
Peru,2021,Q4,0.56,0.4,26.6,82.4,0
Peru,2022,Q1,0.57,0.4,26.7,83.4,0
Peru,2022,Q2,0.57,0.4,26.2,86.2,0
Peru,2022,Q3,0.57,0.4,26.0,80.4,0
Peru,2022,Q4,0.57,0.4,26.6,88.4,0
Colombia,2015,Q1,0.54,0.3,27.7,82.1,0
Colombia,2015,Q2,0.54,0.3,26.1,85.3,1
Colombia,2015,Q3,0.55,0.3,26.2,84.5,1
Colombia,2015,Q4,0.54,0.3,27.0,80.4,0
Colombia,2016,Q1,0.54,0.3,27.9,80.0,1
Colombia,2016,Q2,0.54,0.3,27.7,84.5,0
Colombia,2016,Q3,0.54,0.3,27.3,81.4,0
Colombia,2016,Q4,0.54,0.3,27.4,82.0,0
Colombia,2017,Q1,0.54,0.3,26.2,86.7,0
Colombia,2017,Q2,0.54,0.3,26.4,86.9,0
Colombia,2017,Q3,0.54,0.3,27.4,85.0,0
Colombia,2017,Q4,0.54,0.3,27.1,80.3,1
Colombia,2018,Q1,0.54,0.3,27.4,82.2,0
Colombia,2018,Q2,0.54,0.3,27.3,81.1,0
Colombia,2018,Q3,0.54,0.3,26.1,89.8,0
Colombia,2018,Q4,0.54,0.3,27.6,85.7,0
Colombia,2019,Q1,0.54,0.3,26.8,83.3,0
Colombia,2019,Q2,0.54,0.3,27.5,88.0,0
Colombia,2019,Q3,0.54,0.3,26.2,85.4,0
Colombia,2019,Q4,0.54,0.3,26.7,84.0,0
Colombia,2020,Q1,0.54,0.3,26.9,82.4,0
Colombia,2020,Q2,0.54,0.3,26.1,86.0,0
Colombia,2020,Q3,0.54,0.3,26.9,83.8,0
Colombia,2020,Q4,0.54,0.3,27.0,80.3,0
Colombia,2021,Q1,0.54,0.3,26.8,85.8,0
Colombia,2021,Q2,0.54,0.3,27.5,88.1,0
Colombia,2021,Q3,0.54,0.3,26.0,82.0,0
Colombia,2021,Q4,0.54,0.3,27.8,82.4,1
Colombia,2022,Q1,0.55,0.3,27.9,83.5,0
Colombia,2022,Q2,0.54,0.3,26.5,82.8,0
Colombia,2022,Q3,0.54,0.3,27.1,83.1,0
Colombia,2022,Q4,0.54,0.3,26.5,84.1,0
Ecuador,2015,Q1,0.5,0.2,26.6,81.8,0
Ecuador,2015,Q2,0.49,0.2,25.4,85.7,0
Ecuador,2015,Q3,0.49,0.2,26.2,88.1,0
Ecuador,2015,Q4,0.5,0.2,26.5,89.5,0
Ecuador,2016,Q1,0.49,0.2,27.0,82.3,0
Ecuador,2016,Q2,0.49,0.2,26.0,88.4,1
Ecuador,2016,Q3,0.5,0.2,25.7,87.8,0
Ecuador,2016,Q4,0.49,0.2,26.0,86.7,0
Ecuador,2017,Q1,0.49,0.2,26.1,85.9,0
Ecuador,2017,Q2,0.49,0.2,26.9,82.2,0
Ecuador,2017,Q3,0.5,0.2,26.5,86.1,0
Ecuador,2017,Q4,0.5,0.2,26.0,85.9,0
Ecuador,2018,Q1,0.49,0.2,25.5,87.0,0
Ecuador,2018,Q2,0.49,0.2,26.6,86.9,1
Ecuador,2018,Q3,0.5,0.2,25.4,87.2,0
Ecuador,2018,Q4,0.5,0.2,25.4,80.9,0
Ecuador,2019,Q1,0.5,0.2,25.8,82.3,0
Ecuador,2019,Q2,0.5,0.2,26.2,80.7,0
Ecuador,2019,Q3,0.5,0.2,26.3,88.8,0
Ecuador,2019,Q4,0.49,0.2,25.8,83.3,0
Ecuador,2020,Q1,0.49,0.2,26.5,85.6,0
Ecuador,2020,Q2,0.49,0.2,25.3,85.6,1
Ecuador,2020,Q3,0.5,0.2,26.6,82.0,0
Ecuador,2020,Q4,0.5,0.2,26.1,87.6,0
Ecuador,2021,Q1,0.49,0.2,26.8,89.3,0
Ecuador,2021,Q2,0.49,0.2,25.5,89.9,1
Ecuador,2021,Q3,0.49,0.2,26.9,85.2,0
Ecuador,2021,Q4,0.5,0.2,26.7,81.3,0
Ecuador,2022,Q1,0.49,0.2,26.6,80.4,0
Ecuador,2022,Q2,0.5,0.2,25.9,80.9,1
Ecuador,2022,Q3,0.49,0.2,25.8,84.0,0
Ecuador,2022,Q4,0.49,0.2,26.2,89.2,0
Venezuela,2015,Q1,0.57,0.7,27.2,82.1,1
Venezuela,2015,Q2,0.59,0.7,27.1,83.8,0
Venezuela,2015,Q3,0.57,0.7,27.1,87.9,0
Venezuela,2015,Q4,0.59,0.7,26.3,81.7,0
Venezuela,2016,Q1,0.58,0.7,27.5,86.4,0
Venezuela,2016,Q2,0.59,0.7,27.2,89.2,0
Venezuela,2016,Q3,0.58,0.7,27.0,81.7,0
Venezuela,2016,Q4,0.58,0.7,25.8,83.7,0
Venezuela,2017,Q1,0.59,0.7,25.8,89.6,0
Venezuela,2017,Q2,0.57,0.7,26.4,83.1,0
Venezuela,2017,Q3,0.58,0.7,25.7,86.4,0
Venezuela,2017,Q4,0.58,0.7,26.8,81.5,0
Venezuela,2018,Q1,0.57,0.7,26.4,80.6,1
Venezuela,2018,Q2,0.59,0.7,26.9,89.8,0
Venezuela,2018,Q3,0.59,0.7,25.7,83.0,0
Venezuela,2018,Q4,0.57,0.7,25.6,85.1,1
Venezuela,2019,Q1,0.57,0.7,26.7,83.1,0
Venezuela,2019,Q2,0.58,0.7,26.4,81.3,0
Venezuela,2019,Q3,0.58,0.7,25.9,83.7,0
Venezuela,2019,Q4,0.57,0.7,27.0,87.7,0
Venezuela,2020,Q1,0.58,0.7,26.5,80.2,0
Venezuela,2020,Q2,0.57,0.7,25.8,85.4,0
Venezuela,2020,Q3,0.59,0.7,26.0,89.8,0
Venezuela,2020,Q4,0.57,0.7,26.5,81.1,0
Venezuela,2021,Q1,0.58,0.7,27.2,81.0,0
Venezuela,2021,Q2,0.59,0.7,26.1,87.4,0
Venezuela,2021,Q3,0.58,0.7,26.3,84.6,0
Venezuela,2021,Q4,0.57,0.7,27.4,87.9,0
Venezuela,2022,Q1,0.57,0.7,26.4,82.5,0
Venezuela,2022,Q2,0.59,0.7,27.3,84.6,0
Venezuela,2022,Q3,0.57,0.7,27.3,86.4,0
Venezuela,2022,Q4,0.59,0.7,26.5,81.5,0
Guyana,2015,Q1,0.61,0.3,27.6,80.4,0
Guyana,2015,Q2,0.61,0.3,26.3,80.7,0
Guyana,2015,Q3,0.61,0.3,27.7,83.5,0
Guyana,2015,Q4,0.61,0.3,27.7,86.6,0
Guyana,2016,Q1,0.61,0.3,26.4,86.6,0
Guyana,2016,Q2,0.61,0.3,26.2,80.8,1
Guyana,2016,Q3,0.61,0.3,27.7,86.2,0
Guyana,2016,Q4,0.61,0.3,26.4,86.2,0
Guyana,2017,Q1,0.61,0.3,27.3,80.4,1
Guyana,2017,Q2,0.61,0.3,26.8,89.8,0
Guyana,2017,Q3,0.61,0.3,27.7,88.1,0
Guyana,2017,Q4,0.62,0.3,26.9,89.3,0
Guyana,2018,Q1,0.61,0.3,27.1,84.4,0
Guyana,2018,Q2,0.61,0.3,26.7,81.2,0
Guyana,2018,Q3,0.61,0.3,27.5,82.9,0
Guyana,2018,Q4,0.61,0.3,27.9,89.2,0
Guyana,2019,Q1,0.61,0.3,27.1,88.4,0
Guyana,2019,Q2,0.61,0.3,27.5,81.8,0
Guyana,2019,Q3,0.61,0.3,28.1,80.4,0
Guyana,2019,Q4,0.62,0.3,27.7,88.2,0
Guyana,2020,Q1,0.61,0.3,27.9,87.3,0
Guyana,2020,Q2,0.61,0.3,27.2,83.0,0
Guyana,2020,Q3,0.61,0.3,27.9,86.4,0
Guyana,2020,Q4,0.62,0.3,27.1,80.1,0
Guyana,2021,Q1,0.61,0.3,28.2,81.0,0
Guyana,2021,Q2,0.61,0.3,26.6,85.6,0
Guyana,2021,Q3,0.61,0.3,26.6,83.6,0
Guyana,2021,Q4,0.61,0.3,26.2,87.6,0
Guyana,2022,Q1,0.61,0.3,26.6,89.6,0
Guyana,2022,Q2,0.61,0.3,26.5,83.1,0
Guyana,2022,Q3,0.61,0.3,26.9,84.5,0
Guyana,2022,Q4,0.61,0.3,27.4,83.9,0
Suriname,2015,Q1,0.59,0.4,26.0,86.2,0
Suriname,2015,Q2,0.59,0.4,26.2,85.9,0
Suriname,2015,Q3,0.6,0.4,26.1,85.8,0
Suriname,2015,Q4,0.6,0.4,27.2,86.8,0
Suriname,2016,Q1,0.6,0.4,27.7,85.0,0
Suriname,2016,Q2,0.61,0.4,26.7,87.8,0
Suriname,2016,Q3,0.59,0.4,27.0,84.4,0
Suriname,2016,Q4,0.6,0.4,26.9,80.9,0
Suriname,2017,Q1,0.6,0.4,27.5,90.0,1
Suriname,2017,Q2,0.6,0.4,26.8,86.4,0
Suriname,2017,Q3,0.6,0.4,26.8,88.4,0
Suriname,2017,Q4,0.6,0.4,27.2,81.8,0
Suriname,2018,Q1,0.6,0.4,26.1,80.2,0
Suriname,2018,Q2,0.6,0.4,27.0,83.0,1
Suriname,2018,Q3,0.6,0.4,26.9,88.7,0
Suriname,2018,Q4,0.6,0.4,27.6,84.6,0
Suriname,2019,Q1,0.6,0.4,26.2,87.3,0
Suriname,2019,Q2,0.6,0.4,27.5,87.7,0
Suriname,2019,Q3,0.6,0.4,26.3,87.5,0
Suriname,2019,Q4,0.59,0.4,26.1,80.6,0
Suriname,2020,Q1,0.6,0.4,26.5,89.1,0
Suriname,2020,Q2,0.6,0.4,27.5,84.5,0
Suriname,2020,Q3,0.6,0.4,27.0,80.3,0
Suriname,2020,Q4,0.59,0.4,26.3,85.3,0
Suriname,2021,Q1,0.6,0.4,27.8,80.2,0
Suriname,2021,Q2,0.59,0.4,27.1,89.4,0
Suriname,2021,Q3,0.6,0.4,26.5,87.3,1
Suriname,2021,Q4,0.6,0.4,27.3,82.0,0
Suriname,2022,Q1,0.6,0.4,27.9,86.1,0
Suriname,2022,Q2,0.6,0.4,26.3,82.3,0
Suriname,2022,Q3,0.59,0.4,27.1,85.2,0
Suriname,2022,Q4,0.59,0.4,27.4,80.7,0
Indonesia,2015,Q1,0.67,0.8,26.5,84.6,0
Indonesia,2015,Q2,0.69,0.8,28.2,88.5,0
Indonesia,2015,Q3,0.68,0.8,27.1,86.5,0
Indonesia,2015,Q4,0.69,0.8,27.3,88.1,0
Indonesia,2016,Q1,0.69,0.8,27.9,82.0,0
Indonesia,2016,Q2,0.69,0.8,27.0,87.6,0
Indonesia,2016,Q3,0.69,0.8,28.1,88.8,0
Indonesia,2016,Q4,0.68,0.8,27.2,89.8,0
Indonesia,2017,Q1,0.69,0.8,26.4,84.6,1
Indonesia,2017,Q2,0.67,0.8,27.3,81.1,0
Indonesia,2017,Q3,0.67,0.8,27.1,87.8,1
Indonesia,2017,Q4,0.69,0.8,27.3,82.9,0
Indonesia,2018,Q1,0.67,0.8,27.6,88.0,0
Indonesia,2018,Q2,0.66,0.8,27.4,81.6,0
Indonesia,2018,Q3,0.67,0.8,26.9,88.6,1
Indonesia,2018,Q4,0.68,0.8,28.3,81.4,0
Indonesia,2019,Q1,0.69,0.8,28.1,86.5,0
Indonesia,2019,Q2,0.68,0.8,27.5,80.8,0
Indonesia,2019,Q3,0.67,0.8,27.3,89.7,0
Indonesia,2019,Q4,0.66,0.8,27.6,86.3,0
Indonesia,2020,Q1,0.66,0.8,27.2,81.6,0
Indonesia,2020,Q2,0.67,0.8,27.4,87.2,0
Indonesia,2020,Q3,0.69,0.8,27.8,81.9,0
Indonesia,2020,Q4,0.67,0.8,27.4,87.1,0
Indonesia,2021,Q1,0.68,0.8,27.9,84.6,0
Indonesia,2021,Q2,0.68,0.8,28.0,83.4,0
Indonesia,2021,Q3,0.67,0.8,28.0,81.0,0
Indonesia,2021,Q4,0.69,0.8,27.0,84.5,0
Indonesia,2022,Q1,0.67,0.8,27.5,83.5,0
Indonesia,2022,Q2,0.68,0.8,28.3,86.3,0
Indonesia,2022,Q3,0.67,0.8,27.0,86.9,0
Indonesia,2022,Q4,0.69,0.8,28.0,82.3,0
Malaysia,2015,Q1,0.71,0.7,27.5,86.9,0
Malaysia,2015,Q2,0.7,0.7,26.6,80.3,0
Malaysia,2015,Q3,0.69,0.7,28.1,88.7,0
Malaysia,2015,Q4,0.69,0.7,27.5,82.6,1
Malaysia,2016,Q1,0.69,0.7,27.3,81.1,0
Malaysia,2016,Q2,0.7,0.7,27.9,85.5,0
Malaysia,2016,Q3,0.69,0.7,26.4,84.2,0
Malaysia,2016,Q4,0.69,0.7,28.0,82.8,0
Malaysia,2017,Q1,0.7,0.7,28.0,87.5,0
Malaysia,2017,Q2,0.71,0.7,28.1,87.3,0
Malaysia,2017,Q3,0.69,0.7,26.8,88.7,0
Malaysia,2017,Q4,0.69,0.7,27.3,81.0,0
Malaysia,2018,Q1,0.71,0.7,27.1,83.0,0
Malaysia,2018,Q2,0.7,0.7,26.8,87.4,0
Malaysia,2018,Q3,0.69,0.7,27.9,86.7,0
Malaysia,2018,Q4,0.69,0.7,26.6,80.8,0
Malaysia,2019,Q1,0.69,0.7,26.3,85.8,1
Malaysia,2019,Q2,0.69,0.7,27.2,80.6,0
Malaysia,2019,Q3,0.7,0.7,26.4,80.9,1
Malaysia,2019,Q4,0.69,0.7,27.9,88.8,0
Malaysia,2020,Q1,0.7,0.7,27.1,83.2,0
Malaysia,2020,Q2,0.69,0.7,27.4,88.9,0
Malaysia,2020,Q3,0.7,0.7,27.5,85.9,0
Malaysia,2020,Q4,0.71,0.7,27.2,81.0,0
Malaysia,2021,Q1,0.7,0.7,27.5,89.5,0
Malaysia,2021,Q2,0.69,0.7,27.2,86.3,0
Malaysia,2021,Q3,0.71,0.7,26.9,84.7,0
Malaysia,2021,Q4,0.71,0.7,26.8,89.7,0
Malaysia,2022,Q1,0.7,0.7,26.6,86.1,0
Malaysia,2022,Q2,0.71,0.7,27.2,80.1,0
Malaysia,2022,Q3,0.71,0.7,26.3,81.1,0
Malaysia,2022,Q4,0.69,0.7,27.3,85.1,0
Thailand,2015,Q1,0.58,0.5,27.8,80.9,0
Thailand,2015,Q2,0.59,0.5,27.7,85.1,0
Thailand,2015,Q3,0.59,0.5,28.4,89.9,0
Thailand,2015,Q4,0.59,0.5,27.8,84.2,0
Thailand,2016,Q1,0.58,0.5,28.4,86.1,0
Thailand,2016,Q2,0.58,0.5,28.9,88.2,0
Thailand,2016,Q3,0.58,0.5,27.1,82.6,0
Thailand,2016,Q4,0.58,0.5,28.4,81.1,0
Thailand,2017,Q1,0.59,0.5,27.7,81.2,0
Thailand,2017,Q2,0.58,0.5,27.1,80.8,0
Thailand,2017,Q3,0.58,0.5,28.3,86.8,0
Thailand,2017,Q4,0.58,0.5,27.0,86.4,1
Thailand,2018,Q1,0.58,0.5,28.7,87.2,0
Thailand,2018,Q2,0.58,0.5,27.1,85.3,0
Thailand,2018,Q3,0.59,0.5,27.8,83.0,0
Thailand,2018,Q4,0.58,0.5,27.1,81.2,0
Thailand,2019,Q1,0.59,0.5,28.5,86.5,0
Thailand,2019,Q2,0.58,0.5,27.9,86.7,0
Thailand,2019,Q3,0.59,0.5,28.6,84.5,0
Thailand,2019,Q4,0.58,0.5,28.7,89.2,0
Thailand,2020,Q1,0.59,0.5,28.2,83.7,0
Thailand,2020,Q2,0.58,0.5,28.4,83.7,0
Thailand,2020,Q3,0.59,0.5,27.3,88.9,0
Thailand,2020,Q4,0.59,0.5,27.1,86.5,0
Thailand,2021,Q1,0.59,0.5,27.1,84.1,0
Thailand,2021,Q2,0.58,0.5,28.2,83.6,0
Thailand,2021,Q3,0.58,0.5,27.9,86.9,0
Thailand,2021,Q4,0.59,0.5,27.1,85.1,1
Thailand,2022,Q1,0.59,0.5,27.1,80.3,0
Thailand,2022,Q2,0.59,0.5,27.0,87.6,0
Thailand,2022,Q3,0.59,0.5,28.8,81.2,1
Thailand,2022,Q4,0.59,0.5,28.8,86.0,0
Cambodia,2015,Q1,0.47,0.6,27.4,89.6,0
Cambodia,2015,Q2,0.48,0.6,27.5,85.4,0
Cambodia,2015,Q3,0.48,0.6,27.9,87.6,0
Cambodia,2015,Q4,0.48,0.6,27.4,82.6,0
Cambodia,2016,Q1,0.49,0.6,27.5,82.7,1
Cambodia,2016,Q2,0.48,0.6,27.5,85.8,0
Cambodia,2016,Q3,0.48,0.6,28.1,84.9,0
Cambodia,2016,Q4,0.47,0.6,28.6,86.2,0
Cambodia,2017,Q1,0.48,0.6,27.2,84.0,0
Cambodia,2017,Q2,0.48,0.6,27.9,82.3,1
Cambodia,2017,Q3,0.47,0.6,28.2,85.3,0
Cambodia,2017,Q4,0.49,0.6,28.4,81.2,0
Cambodia,2018,Q1,0.49,0.6,28.6,89.4,0
Cambodia,2018,Q2,0.48,0.6,28.8,84.8,0
Cambodia,2018,Q3,0.48,0.6,27.6,82.9,0
Cambodia,2018,Q4,0.48,0.6,27.6,85.1,0
Cambodia,2019,Q1,0.48,0.6,28.5,89.8,0
Cambodia,2019,Q2,0.47,0.6,28.3,85.7,1
Cambodia,2019,Q3,0.49,0.6,27.0,88.5,0
Cambodia,2019,Q4,0.47,0.6,28.6,80.6,0
Cambodia,2020,Q1,0.48,0.6,27.8,86.3,1
Cambodia,2020,Q2,0.49,0.6,27.8,86.9,0
Cambodia,2020,Q3,0.48,0.6,27.1,83.0,0
Cambodia,2020,Q4,0.47,0.6,27.4,82.1,1
Cambodia,2021,Q1,0.49,0.6,28.8,86.8,0
Cambodia,2021,Q2,0.49,0.6,26.8,87.4,0
Cambodia,2021,Q3,0.48,0.6,27.1,87.5,0
Cambodia,2021,Q4,0.48,0.6,28.3,88.5,0
Cambodia,2022,Q1,0.49,0.6,27.8,80.8,0
Cambodia,2022,Q2,0.48,0.6,26.9,83.5,0
Cambodia,2022,Q3,0.47,0.6,28.7,80.7,1
Cambodia,2022,Q4,0.48,0.6,27.4,80.8,0
Vietnam,2015,Q1,0.53,0.4,27.4,80.5,0
Vietnam,2015,Q2,0.54,0.4,26.6,82.3,0
Vietnam,2015,Q3,0.53,0.4,27.9,84.1,1
Vietnam,2015,Q4,0.54,0.4,27.0,82.3,0
Vietnam,2016,Q1,0.53,0.4,27.2,83.6,0
Vietnam,2016,Q2,0.54,0.4,27.8,85.0,0
Vietnam,2016,Q3,0.54,0.4,27.2,80.7,0
Vietnam,2016,Q4,0.54,0.4,27.4,88.2,0
Vietnam,2017,Q1,0.54,0.4,27.0,81.4,0
Vietnam,2017,Q2,0.54,0.4,27.0,82.8,0
Vietnam,2017,Q3,0.54,0.4,26.1,87.5,0
Vietnam,2017,Q4,0.55,0.4,27.0,80.5,0
Vietnam,2018,Q1,0.53,0.4,26.1,88.4,0
Vietnam,2018,Q2,0.54,0.4,27.5,83.2,0
Vietnam,2018,Q3,0.54,0.4,26.5,88.4,0
Vietnam,2018,Q4,0.53,0.4,27.8,84.3,1
Vietnam,2019,Q1,0.54,0.4,27.9,80.9,0
Vietnam,2019,Q2,0.54,0.4,26.8,86.3,0
Vietnam,2019,Q3,0.55,0.4,26.3,87.1,0
Vietnam,2019,Q4,0.53,0.4,27.5,89.5,0
Vietnam,2020,Q1,0.54,0.4,26.2,87.8,0
Vietnam,2020,Q2,0.55,0.4,26.7,89.6,0
Vietnam,2020,Q3,0.54,0.4,26.9,82.1,0
Vietnam,2020,Q4,0.54,0.4,26.1,87.7,0
Vietnam,2021,Q1,0.53,0.4,27.7,82.1,0
Vietnam,2021,Q2,0.54,0.4,27.8,82.2,0
Vietnam,2021,Q3,0.54,0.4,26.6,81.4,0
Vietnam,2021,Q4,0.53,0.4,26.6,86.4,0
Vietnam,2022,Q1,0.53,0.4,26.4,88.9,0
Vietnam,2022,Q2,0.54,0.4,26.1,81.1,0
Vietnam,2022,Q3,0.54,0.4,27.7,80.1,0
Vietnam,2022,Q4,0.54,0.4,26.0,81.2,0
Laos,2015,Q1,0.52,0.4,26.7,85.3,0
Laos,2015,Q2,0.53,0.4,26.8,89.6,0
Laos,2015,Q3,0.52,0.4,26.5,87.7,0
Laos,2015,Q4,0.52,0.4,27.9,81.3,0
Laos,2016,Q1,0.51,0.4,27.5,81.2,0
Laos,2016,Q2,0.53,0.4,26.5,87.7,0
Laos,2016,Q3,0.52,0.4,26.6,80.0,0
Laos,2016,Q4,0.52,0.4,27.8,88.5,0
Laos,2017,Q1,0.51,0.4,27.5,87.8,0
Laos,2017,Q2,0.52,0.4,26.5,80.7,0
Laos,2017,Q3,0.52,0.4,26.9,87.5,0
Laos,2017,Q4,0.53,0.4,27.8,89.4,0
Laos,2018,Q1,0.51,0.4,27.0,89.6,0
Laos,2018,Q2,0.52,0.4,26.4,82.0,0
Laos,2018,Q3,0.52,0.4,27.5,85.8,0
Laos,2018,Q4,0.51,0.4,27.2,83.9,0
Laos,2019,Q1,0.52,0.4,26.6,89.2,0
Laos,2019,Q2,0.52,0.4,27.7,87.1,0
Laos,2019,Q3,0.52,0.4,25.9,86.3,0
Laos,2019,Q4,0.52,0.4,27.8,85.3,0
Laos,2020,Q1,0.52,0.4,27.3,80.8,0
Laos,2020,Q2,0.51,0.4,26.8,85.5,0
Laos,2020,Q3,0.53,0.4,26.2,84.5,0
Laos,2020,Q4,0.53,0.4,27.6,89.8,0
Laos,2021,Q1,0.51,0.4,26.4,89.6,0
Laos,2021,Q2,0.51,0.4,27.9,87.1,1
Laos,2021,Q3,0.52,0.4,26.4,84.4,0
Laos,2021,Q4,0.52,0.4,27.1,89.8,0
Laos,2022,Q1,0.51,0.4,27.7,89.4,1
Laos,2022,Q2,0.52,0.4,27.9,87.6,0
Laos,2022,Q3,0.52,0.4,27.3,82.5,0
Laos,2022,Q4,0.52,0.4,26.2,85.7,0
